"state","voted_2020","protests_per_100k","polarization_var","diversity_index","education_index","economic_index","voter_turnout_2020","voter_turnout_2016"
1,"Republican",7.28462730672401,0.133332374280523,53.1,63.9333333333333,78.6898952556993,0.6146,0.5912
2,"Republican",9.1356452424423,0.0220529737101862,62.8,70.3333333333333,89.1463339494763,0.6823,0.6156
4,"Democrat",6.1805198404475,0.198722123346598,61.5,65.8333333333333,83.6278496611214,0.6663,0.5597
5,"Republican",6.74077311022592,0.0815146995845223,49.8,63.1666666666667,76.7630314232902,0.5617,0.5311
6,"Democrat",13.9055313639159,0.534081657081775,69.7,64.1666666666667,87.0784966112138,0.6883,0.5831
8,"Democrat",7.70734400768725,0.166592491767283,52.3,73.8,89.9715341959335,0.7669,0.7199
9,"Democrat",17.8871330225872,0.0867508406061593,55.7,71.8666666666667,89.7513247073321,0.7009,0.6473
10,"Democrat",7.98021714271861,0.0362103350796113,59.6,68.9333333333333,86.3767714109674,0.6834,0.6451
12,"Republican",8.56153770045733,0.453828682756698,64.1,66.3666666666667,81.371965495995,0.7079,0.6572
13,"Democrat",7.06690162014088,0.232482599015232,64.1,66.3333333333333,81.7656808379544,0.6706,0.5985
15,"Democrat",16.6979208683469,0.041019241489201,76,70.6666666666667,90.037584719655,0.5535,0.4319
16,"Republican",8.97175040481625,0.0624890914810596,35.9,69.0666666666667,84.326494146642,0.6494,0.6076
17,"Democrat",11.2780417385886,0.29395334174556,60.3,69,85.0690696241528,0.6652,0.6292
18,"Republican",7.3686233407334,0.186349450744197,41.3,66.7333333333333,83.4075785582255,0.6106,0.5777
19,"Republican",11.0018621670409,0.0958862638708606,30.8,69.9666666666667,85.545348120764,0.7204,0.6918
20,"Republican",5.92263809277438,0.0970557387173096,45.4,70.0333333333333,84.4015403573629,0.651,0.5954
21,"Republican",7.74551048906352,0.147560026513044,32.8,64.4,76.9817005545287,0.6441,0.5956
22,"Republican",7.47140737483729,0.107525059249555,58.6,61.9666666666667,76.7364756623537,0.6414,0.6067
23,"Democrat",23.3418651031043,0.0564961133444478,18.5,71.9666666666667,84.954651879236,0.7487,0.7284
24,"Democrat",11.0729350271255,0.15915812835897,67.3,71.4666666666667,95.7666666666667,0.6945,0.6712
25,"Democrat",20.412758785061,0.160681810486913,51.6,73.4666666666667,91.0534195933457,0.7131,0.6812
26,"Democrat",10.1514974550305,0.248245138935994,45.2,68.6,82.2871842267406,0.7327,0.6554
27,"Democrat",15.3859795524187,0.153350414751791,40.5,73.1333333333333,90.513247073321,0.7921,0.7467
28,"Republican",7.09153038264885,0.0784271847892468,55.9,60.7,74.2086876155268,0.6063,0.5517
29,"Republican",8.04235575710006,0.179296029171441,40.8,67.9666666666667,83.3332717190388,0.6549,0.6225
30,"Republican",12.727985427379,0.0413170213838713,30.1,71.8333333333333,84.0163894023413,0.7134,0.6442
31,"Republican",8.25896862815472,0.0619688111017578,40.8,69.9666666666667,85.7071472581639,0.6906,0.6411
32,"Democrat",9.08325479431582,0.108722991307802,68.8,66.2,83.7161429451633,0.6425,0.5775
33,"Democrat",16.9143444530024,0.0584960777288626,23.6,74.3666666666667,89.5101663585952,0.7396,0.7207
34,"Democrat",7.15900989924205,0.202387240573751,65.8,71.0333333333333,90.1139864448552,0.7204,0.6638
35,"Democrat",10.8617525579427,0.0686295090471903,63,62.6333333333333,76.8480591497227,0.6049,0.5458
36,"Democrat",22.9589764474464,0.38416984881922,65.8,67.6,83.9190388170055,0.6171,0.5757
37,"Republican",8.8702517810431,0.246543139339478,57.9,67.7,81.0462107208872,0.71,0.6472
38,"Republican",8.47137829324831,0.0276154723405047,32.6,70.5,86.6180529882933,0.6307,0.619
39,"Republican",8.15292376389133,0.290410564300792,40.4,68.3666666666667,81.8009858287123,0.6708,0.6402
40,"Republican",5.22812691871626,0.0989377609408622,59.5,65.6666666666667,79.8773875539125,0.5443,0.5263
41,"Democrat",16.5909258255815,0.140142617836384,46.1,70.2,87.9344423906346,0.7533,0.682
42,"Democrat",14.5200612180547,0.341791654837599,44,69.3333333333333,83.7791743684535,0.6993,0.6421
44,"Democrat",23.510564718297,0.0348004774267385,49.4,69.4666666666667,86.1792975970425,0.6309,0.5978
45,"Republican",7.3264724988644,0.143655558131763,54.6,66.1666666666667,79.8295748613678,0.6471,0.573
46,"Republican",8.0075157866482,0.0307080984085923,35.6,69.6333333333333,82.6962415280345,0.6562,0.603
47,"Republican",8.45049227011478,0.186853708120463,46.6,65.8666666666667,81.1417128773876,0.5924,0.5187
48,"Republican",4.4569479924949,0.453829429326555,67,63.3666666666667,83.6277880468269,0.5979,0.5134
49,"Republican",6.78563743422211,0.093273017576953,40.7,72.1333333333333,92.3465804066543,0.6722,0.5803
50,"Democrat",32.9665032336719,0.0288822458865904,20.2,74.9666666666667,84.7396796056685,0.7125,0.6477
51,"Democrat",10.9136497434423,0.216311847038896,60.5,71.2333333333333,88.4717806531115,0.7179,0.6627
53,"Democrat",9.07170030528413,0.202459511806529,55.9,71.7,89.350831792976,0.7533,0.6565
54,"Republican",11.9305397286973,0.0709240615934953,20.2,63.8333333333333,75.7947627849661,0.5719,0.5142
55,"Democrat",12.43697102576,0.177346961525812,37,70.1666666666667,84.6575477510783,0.7504,0.6992
56,"Republican",11.0947194336146,0.0145856298209599,32.4,69.8666666666667,84.716943930992,0.6474,0.6023
